iter	Logloss
0	0.690512845
1	0.6877110281
2	0.6851471095
3	0.6825244332
4	0.6799588035
5	0.677381639
6	0.6748731994
7	0.672307857
8	0.6697902177
9	0.6673849341
10	0.6650676924
11	0.6628553473
12	0.6607840019
13	0.6585275754
14	0.6564266781
15	0.6543591243
16	0.6522005207
17	0.6501668525
18	0.6482734232
19	0.6463180127
20	0.6445326412
21	0.64245658
22	0.6406595432
23	0.6388239964
24	0.637103261
25	0.6354253987
26	0.6336454484
27	0.6320279408
28	0.6303229694
29	0.6289997961
30	0.6274895724
31	0.6259204309
32	0.6243486964
33	0.622832823
34	0.6217332048
35	0.6202857428
36	0.6189388142
37	0.6175753185
38	0.6161782375
39	0.6148241046
40	0.6134104564
41	0.6120821819
42	0.6108937772
43	0.6096436233
44	0.608357977
45	0.6072427713
46	0.6061173634
47	0.6049707835
48	0.6037374581
49	0.6025507483
50	0.601446999
51	0.6002384183
52	0.5991414194
53	0.5980529048
54	0.5972619969
55	0.5962719095
56	0.5952010236
57	0.5941447227
58	0.5931862642
59	0.5922471947
60	0.5912917833
61	0.5903660251
62	0.5895220646
63	0.5886824313
64	0.5878950439
65	0.5870420373
66	0.5861805168
67	0.5853704322
68	0.584508461
69	0.5839200113
70	0.5832052612
71	0.5822963707
72	0.5814540529
73	0.5807627183
74	0.579942167
75	0.5792952502
76	0.5786602306
77	0.5779155039
78	0.5771122807
79	0.5764139868
80	0.575763667
81	0.5750878906
82	0.5745490121
83	0.5738217475
84	0.5731478097
85	0.572571943
86	0.5718858271
87	0.5713262501
88	0.570716279
89	0.5701275713
90	0.5695007553
91	0.5689070771
92	0.568331008
93	0.567764181
94	0.5671774295
95	0.5666400728
96	0.5659976726
97	0.5654120543
98	0.5649137302
99	0.5643606814
