iter	Passed	Remaining
0	135	13427
1	222	10907
2	297	9619
3	372	8932
4	451	8583
5	528	8278
6	605	8049
7	681	7839
8	757	7661
9	836	7524
10	914	7400
11	994	7289
12	1082	7241
13	1162	7141
14	1242	7038
15	1323	6947
16	1401	6841
17	1480	6742
18	1568	6687
19	1655	6623
20	1740	6546
21	1824	6469
22	1912	6404
23	2005	6349
24	2083	6251
25	2164	6159
26	2247	6077
27	2333	6000
28	2417	5917
29	2494	5821
30	2571	5722
31	2654	5640
32	2732	5547
33	2806	5448
34	2830	5257
35	2911	5175
36	2986	5084
37	3063	4998
38	3143	4916
39	3218	4828
40	3300	4749
41	3382	4670
42	3463	4591
43	3542	4509
44	3621	4426
45	3701	4345
46	3779	4262
47	3858	4180
48	3939	4099
49	4017	4017
50	4094	3933
51	4174	3853
52	4251	3770
53	4329	3687
54	4342	3552
55	4418	3471
56	4496	3391
57	4575	3313
58	4652	3233
59	4753	3168
60	4863	3109
61	4942	3029
62	5021	2948
63	5098	2867
64	5177	2787
65	5257	2708
66	5337	2628
67	5415	2548
68	5494	2468
69	5513	2362
70	5595	2285
71	5678	2208
72	5763	2131
73	5847	2054
74	5930	1976
75	6009	1897
76	6089	1818
77	6170	1740
78	6255	1662
79	6339	1584
80	6422	1506
81	6504	1427
82	6588	1349
83	6673	1271
84	6758	1192
85	6848	1114
86	6932	1035
87	7012	956
88	7096	877
89	7181	797
90	7266	718
91	7347	638
92	7430	559
93	7515	479
94	7599	399
95	7676	319
96	7760	240
97	7843	160
98	7928	80
99	8009	0
